层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
env,average,输入,env_1_Design/Relay/InPort/U_Ch2_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch2_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch3_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch3_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch4_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch4_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch5_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch5_Relay_OutValue,2,2,0,,{2},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch6_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch6_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch7_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch7_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch8_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch8_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch9_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch9_Relay_OutValue,0,2,2,"23.941, 27.541","{0, 2}",否
env,average,输入,env_1_Design/Relay/InPort/U_Ch10_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch10_Relay_OutValue,0,2,2,"23.941, 27.541","{0, 2}",否
env,average,输入,env_1_Design/Relay/InPort/U_Ch11_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch11_Relay_OutValue,0,2,2,"23.941, 27.541","{0, 2}",否
env,average,输入,env_1_Design/Relay/InPort/U_Ch12_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch12_Relay_OutValue,0,2,2,"23.941, 27.541","{0, 2}",否
env,average,输入,env_1_Design/Relay/InPort/U_Ch13_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch13_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch14_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch14_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch15_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch15_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch16_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch16_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch17_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch17_Relay_OutValue,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch18_Enable,0,0,0,,{0},否
