输出接口,最小值,最大值,总变化次数,注入后窗口内变化次数,窗口内变化时刻_s,取值摘要
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output14.U_DO_Ch14_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output14.U_DO_Ch14_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output15.U_DO_Ch15_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output15.U_DO_Ch15_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output16.U_DO_Ch16_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output16.U_DO_Ch16_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output17.U_DO_Ch17_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output17.U_DO_Ch17_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output18.U_DO_Ch18_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output18.U_DO_Ch18_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output19.U_DO_Ch19_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output19.U_DO_Ch19_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output20.U_DO_Ch20_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output20.U_DO_Ch20_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output21.U_DO_Ch21_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output21.U_DO_Ch21_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output22.U_DO_Ch22_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output22.U_DO_Ch22_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output23.U_DO_Ch23_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output23.U_DO_Ch23_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output24.U_DO_Ch24_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output24.U_DO_Ch24_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output25.U_DO_Ch25_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output25.U_DO_Ch25_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output26.U_DO_Ch26_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output26.U_DO_Ch26_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output27.U_DO_Ch27_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output27.U_DO_Ch27_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output28.U_DO_Ch28_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output28.U_DO_Ch28_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output29.U_DO_Ch29_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output29.U_DO_Ch29_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output30.U_DO_Ch30_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output30.U_DO_Ch30_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output31.U_DO_Ch31_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output31.U_DO_Ch31_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output32.U_DO_Ch32_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output32.U_DO_Ch32_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output33.U_DO_Ch33_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output33.U_DO_Ch33_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output34.U_DO_Ch34_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output34.U_DO_Ch34_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output35.U_DO_Ch35_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output35.U_DO_Ch35_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output36.U_DO_Ch36_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output36.U_DO_Ch36_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output1.U_Ch1_PWM_Out_Amplitude_Out,0,0,0,0,,{0}
